,Ticker,W%R_range,Long Trigger,Short Trigger,HODL_return,Trade Return,delta
0,SQ,5,-85,-35,5.061199127124698,0.934903,-4.126296127124697
1,SQ,5,-85,-40,5.061199127124698,1.106038,-3.955161127124698
2,SQ,5,-85,-45,5.061199127124698,1.165771,-3.8954281271246978
3,SQ,5,-85,-50,5.061199127124698,1.536307,-3.524892127124698
4,SQ,5,-85,-55,5.061199127124698,2.453297,-2.6079021271246976
5,SQ,5,-85,-60,5.061199127124698,1.059091,-4.002108127124698
6,SQ,5,-85,-65,5.061199127124698,0.667624,-4.393575127124698
7,SQ,5,-85,-70,5.061199127124698,1.487679,-3.5735201271246977
8,SQ,5,-80,-35,5.061199127124698,1.359796,-3.7014031271246974
9,SQ,5,-80,-40,5.061199127124698,1.564317,-3.4968821271246977
10,SQ,5,-80,-45,5.061199127124698,1.637073,-3.4241261271246977
11,SQ,5,-80,-50,5.061199127124698,2.01022,-3.0509791271246978
12,SQ,5,-80,-55,5.061199127124698,2.914085,-2.1471141271246976
13,SQ,5,-80,-60,5.061199127124698,1.858908,-3.2022911271246977
14,SQ,5,-80,-65,5.061199127124698,1.045139,-4.016060127124698
15,SQ,5,-80,-70,5.061199127124698,2.118004,-2.9431951271246977
16,SQ,5,-75,-35,5.061199127124698,1.822143,-3.2390561271246976
17,SQ,5,-75,-40,5.061199127124698,2.003487,-3.057712127124698
18,SQ,5,-75,-45,5.061199127124698,1.706545,-3.3546541271246975
19,SQ,5,-75,-50,5.061199127124698,2.02739,-3.0338091271246976
20,SQ,5,-75,-55,5.061199127124698,2.926225,-2.1349741271246976
21,SQ,5,-75,-60,5.061199127124698,1.867825,-3.193374127124698
22,SQ,5,-75,-65,5.061199127124698,1.580513,-3.480686127124698
23,SQ,5,-75,-70,5.061199127124698,2.995057,-2.0661421271246976
24,SQ,5,-70,-35,5.061199127124698,1.649149,-3.4120501271246977
25,SQ,5,-70,-40,5.061199127124698,1.872218,-3.1889811271246975
26,SQ,5,-70,-45,5.061199127124698,1.58819,-3.4730091271246977
27,SQ,5,-70,-50,5.061199127124698,1.89508,-3.1661191271246976
28,SQ,5,-70,-55,5.061199127124698,2.286452,-2.7747471271246975
29,SQ,5,-70,-60,5.061199127124698,1.349321,-3.711878127124698
30,SQ,5,-70,-65,5.061199127124698,1.141621,-3.919578127124698
31,SQ,5,-70,-70,5.061199127124698,3.939202,-1.1219971271246978
32,SQ,5,-65,-35,5.061199127124698,4.933606,-0.1275931271246975
33,SQ,5,-65,-40,5.061199127124698,5.163783,0.1025838728753019
34,SQ,5,-65,-45,5.061199127124698,5.955372,0.894172872875302
35,SQ,5,-65,-50,5.061199127124698,6.749604,1.688404872875302
36,SQ,5,-65,-55,5.061199127124698,10.63171,5.570510872875302
37,SQ,5,-65,-60,5.061199127124698,7.241811,2.1806118728753026
38,SQ,5,-65,-65,5.061199127124698,6.783602,1.7224028728753025
39,SQ,5,-65,-70,5.061199127124698,6.882075,1.8208758728753027
40,SQ,5,-60,-35,5.061199127124698,4.086661,-0.9745381271246973
41,SQ,5,-60,-40,5.061199127124698,4.032221,-1.0289781271246978
