Symbol,Name,Country,IPO Year,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,China,,Miscellaneous,Service to the Health Industry
AACQ,Artius Acquisition Inc. Class A Common Stock,United States,2020,Finance,Business Services
AACQU,Artius Acquisition Inc. Unit ,United States,2020,Finance,Business Services
AACQW,Artius Acquisition Inc Warrant,United States,2020,Finance,Business Services
AAL,American Airlines Group Inc. Common Stock,United States,,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,United States,,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,,Transportation,Transportation Services
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,,
ABCM,Abcam plc American Depositary Shares,United Kingdom,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,United States,2021,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD,ABIOMED Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Capital Goods,Industrial Machinery/Components
ABST,Absolute Software Corporation Common Stock,Canada,2020,,
ABTX,Allegiance Bancshares Inc. Common Stock,United States,2015,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,,
ACAC,Acies Acquisition Corp. Class A Ordinary Share,United States,2020,Finance,Business Services
ACACU,Acies Acquisition Corp. Unit,United States,2020,Finance,Business Services
ACACW,Acies Acquisition Corp. Warrant,United States,2020,Finance,Business Services
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,2004,Health Care,Major Pharmaceuticals
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,2021,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,United States,2021,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States,2021,,
ACBAU,Ace Global Business Acquisition Limited Unit,Hong Kong,2021,,
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,,Finance,Major Banks
ACCD,Accolade Inc. Common Stock,United States,2020,,
ACER,Acer Therapeutics Inc. Common Stock (DE),United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,United States,2018,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States,2020,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,United States,2020,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,United States,2020,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Bermuda,,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIU,AC Immune SA Common Stock,Switzerland,2016,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc. Common Stock,United States,,Technology,EDP Services
ACKIT,Ackrell SPAC Partners I Co. Subunits,United States,2021,,
ACKIU,Ackrell SPAC Partners I Co. Units,United States,2020,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,United States,2021,Finance,Business Services
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,Technology,Industrial Machinery/Components
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,United States,,Finance,Major Banks
ACOR,Acorda Therapeutics Inc. Common Stock,United States,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACQRU,Independence Holdings Corp. Units,United States,2021,Finance,Business Services
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,2011,Consumer Durables,Specialty Chemicals
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,,,
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,United States,2020,Finance,Business Services
ACTCU,ArcLight Clean Transition Corp. Unit,United States,2020,Finance,Business Services
ACTCW,ArcLight Clean Transition Corp. Warrant,United States,2020,Finance,Business Services
ACTDU,ArcLight Clean Transition Corp. II Unit,United States,2021,,
