Symbol,Name,Country,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,Capital Goods,Electrical Products
AA,Alcoa Corporation Common Stock ,,2016,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,2021,Finance,Business Services
AAIC,Arlington Asset Investment Corp Class A (new),United States,,Consumer Services,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,United States,,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,United States,,,
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,Miscellaneous,Diversified Commercial Services
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,United States,,Consumer Services,Other Specialty Stores
AAQC,Accelerate Acquisition Corp. Class A Common Stock,,2021,,
AAT,American Assets Trust Inc. Common Stock,United States,2011,Consumer Services,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,Finance,Investment Managers
ABB,ABB Ltd Common Stock,Switzerland,,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,United States,,Health Care,Other Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,2013,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,Consumer Services,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,United States,,Technology,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,2004,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust Preferred Series A,United States,,,
ABR^B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,United States,,,
ABR^C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,United States,,,
ABT,Abbott Laboratories Common Stock,United States,,Health Care,Medical/Dental Instruments
AC,Associated Capital Group Inc. Common Stock,United States,2015,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,,2018,Capital Goods,Engineering & Construction
ACB,Aurora Cannabis Inc. Common Shares,,2018,,
ACC,American Campus Communities Inc Common Stock,United States,2004,Consumer Services,Real Estate Investment Trusts
ACCO,Acco Brands Corporation Common Stock,United States,,Consumer Services,Advertising
ACEL,Accel Entertainment Inc. ,United States,2017,Consumer Services,Recreational Products/Toys
ACH,Aluminum Corporation of China Limited American Depositary Shares,China,2001,Basic Industries,Aluminum
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp. Class A Common Stock,United States,2020,,
ACII,Atlas Crest Investment Corp. II Class A Common Stock,,2021,,
ACM,AECOM Common Stock,United States,2007,Consumer Services,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,Technology,EDP Services
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,United States,2020,Finance,Business Services
ACP,Aberdeen Income Credit Strategies Fund Common Shares,United States,2011,,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,Consumer Services,Real Estate Investment Trusts
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,,
ADC,Agree Realty Corporation Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
ADCT,ADC Therapeutics SA Common Shares,,2020,Health Care,Major Pharmaceuticals
ADEX,Adit EdTech Acquisition Corp. Common Stock,,2021,,
ADM,Archer-Daniels-Midland Company Common Stock,United States,,,
ADNT,Adient plc Ordinary Shares ,,2016,Capital Goods,Auto Parts:O.E.M.
ADS,Alliance Data Systems Corporation Common Stock,United States,2001,Finance,Diversified Financial Services
ADT,ADT Inc. Common Stock,United States,2018,Consumer Services,Diversified Commercial Services
ADX,Adams Diversified Equity Fund Inc.,United States,,,
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),Netherlands,,Finance,Life Insurance
AEE,Ameren Corporation Common Stock,United States,,Public Utilities,Power Generation
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,2019,,
AEG,AEGON N.V. Common Stock,Netherlands,,Finance,Life Insurance
AEL,American Equity Investment Life Holding Company Common Stock,United States,2003,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,United States,,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,United States,,,
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,,
AENZ,Aenza S.A.A. American Depositary Shares,,2018,Capital Goods,Engineering & Construction
AEO,American Eagle Outfitters Inc. Common Stock,United States,,Consumer Services,Clothing/Shoe/Accessory Stores
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,2006,Technology,Diversified Commercial Services
AES,The AES Corporation Common Stock,United States,,Public Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,United States,,Public Utilities,Electric Utilities: Central
AEVA,Aeva Technologies Inc. Common Stock,,2020,Capital Goods,Auto Parts:O.E.M.
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,,
AFG,American Financial Group Inc. Common Stock,United States,,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,2019,,
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,2019,Finance,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,2020,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,2020,,
AFI,Armstrong Flooring Inc. Common Stock,,2016,Capital Goods,Building Products
AFL,AFLAC Incorporated Common Stock,United States,,Finance,Accident &Health Insurance
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,,2011,,
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,,
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,,2021,Finance,Business Services
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,,2021,Finance,Business Services
AGCO,AGCO Corporation Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AGD,Aberdeen Global Dynamic Dividend Fund,United States,2006,,
AGI,Alamos Gold Inc. Class A Common Shares,Canada,2015,,
AGL,agilon health inc. Common Stock,,2021,Health Care,Managed Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,United States,,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,,
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,2004,Finance,Property-Casualty Insurers
AGO^B,Assured Guaranty Ltd.,Bermuda,,,
AGO^E,Assured Guaranty Ltd.,Bermuda,,,
AGO^F,Assured Guaranty Ltd.,Bermuda,,,
AGR,Avangrid Inc. Common Stock,United States,2015,Public Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A. Common Shares,Luxembourg,2011,,
AGS,PlayAGS Inc. Common Stock,United States,2018,Consumer Services,Recreational Products/Toys
AGTI,Agiliti Inc. Common Stock,,2021,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,United States,,Capital Goods,Oilfield Services/Equipment
AHC,A.H. Belo Corporation (TX) Common Stock,United States,,Consumer Services,Newspapers/Magazines
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,Consumer Services,Real Estate Investment Trusts
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,,
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,,
AI,C3.ai Inc. Class A Common Stock,,2020,Technology,Computer Software: Prepackaged Software
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,2015,,
AIF,Apollo Tactical Income Fund Inc. Common Stock,,2013,,
AIG,American International Group Inc. New Common Stock,United States,,Finance,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,United States,,,
AIN,Albany International Corporation Common Stock,United States,,Basic Industries,Textiles
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,,2019,,
AIR,AAR Corp. Common Stock,United States,,Capital Goods,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,,2020,Consumer Services,Real Estate Investment Trusts
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AIV,Apartment Investment and Management Company Common Stock,United States,1994,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,United States,,Consumer Services,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,2004,Finance,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,Finance,Accident &Health Insurance
AJAX,Ajax I Class A Ordinary Shares,United States,2020,Finance,Business Services
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States,,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,United States,2015,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,2017,,
